"filename", "language", "Dart", "comment", "blank", "total"
"d:\better_system\Bt_system\lib\cache.dart", "Dart", 52, 2, 15, 69
"d:\better_system\Bt_system\lib\database\database.dart", "Dart", 221, 36, 35, 292
"d:\better_system\Bt_system\lib\database\database.g.dart", "Dart", 1445, 2, 63, 1510
"d:\better_system\Bt_system\lib\excel\init_info.dart", "Dart", 189, 136, 17, 342
"d:\better_system\Bt_system\lib\excel\pick_file.dart", "Dart", 17, 0, 3, 20
"d:\better_system\Bt_system\lib\exception\core.dart", "Dart", 10, 0, 3, 13
"d:\better_system\Bt_system\lib\exception\database_exception.dart", "Dart", 7, 0, 3, 10
"d:\better_system\Bt_system\lib\exception\excel_exception.dart", "Dart", 1, 0, 1, 2
"d:\better_system\Bt_system\lib\global.dart", "Dart", 31, 13, 10, 54
"d:\better_system\Bt_system\lib\main.dart", "Dart", 46, 0, 7, 53
"d:\better_system\Bt_system\lib\module\class_module.dart", "Dart", 34, 2, 4, 40
"d:\better_system\Bt_system\lib\module\module_template.dart", "Dart", 1, 0, 1, 2
"d:\better_system\Bt_system\lib\module\stu_module.dart", "Dart", 20, 23, 10, 53
"d:\better_system\Bt_system\lib\module\teacher_module.dart", "Dart", 5, 0, 2, 7
"d:\better_system\Bt_system\lib\view\menu\custom_menu.dart", "Dart", 91, 3, 7, 101
"d:\better_system\Bt_system\lib\view\menu\menu_bar.dart", "Dart", 103, 7, 10, 120
"Total", "-", 2273, 224, 191, 2688